"Scoring","Kundendaten-Prüfung"
"Basic Configuration","Basis-Konfiguration"
"Use LIVE mode","Produktivmodus verwenden"
"In test mode, every request will use the testing credentials.","Im Testmodus werden alle Anfragen über den Testzugang geschickt"
"Use Address to check worthiness","Zur Prüfung zu verwendende Adresse"
"Shipping address","Versandadresse"
"Billing address","Rechnungsanschrift"
"Payment Methods","Zahlungsmethoden"
"Solvency validation active","Bonitätsprüfung aktiviert"
"Address validation","Adressprüfung"
"Address validation active","Adressprüfung aktiviert"
"Default validation result","Standard-Prüfungsergebnis"
"Error messages","Fehlermeldungen"
"Erroneous address","Fehlerhafte Adresse"
"Low solvency","Niedrige Bonität"
"Mail Alert","E-Mail-Benachrichtigung"
"Send Mails to you if service fails due to interface errors.","E-Mail-Benachrichtigung bei Schnittstellenfehlern"
"error mails active","E-Mail-Benachrichtigung aktiviert"
"sender's name","Name des Absenders"
"sender's mail address","E-Mail-Adresse des Absenders"
"receiver's name","Name des Empfängers"
"receiver's mail address","E-Mail-Adresse des Empfängers"
"mail template","E-Mail-Template"
"Please validate your address!","Bitte überprüfen Sie Ihre Adresse!"
"The requested payment method is currently not available.","Die gewählte Zahlungsart steht derzeit nicht zur Verfügung."
"Missing score for solvency group &quot;%s&quot;","Der Scoring-Wert der Bonitätsgruppe &quot;%s&quot; fehlt"
"Solvency Groups","Bonitätsgruppen"
"Name will never show up in frontend so it will never be visible to the customer and is only for internal purposes. After changing the name solvency will be re-requested for all customers being in this group.","Der Name wird im Frontend nicht verwendet und bleibt den Kunden damit verborgen. Er dient ausschließlich für die interne Verwendung. Wird der Name geändert, so wird die Bonität für alle Kunden in dieser Bonitätsgruppe neu abgefragt."
"Apply from Score","Scoring-Wert"
"All customers with score equal or higher than this score will be assigned to this group if there is no other group with higher matching score. Score has to be between 10 (1.0) and 60 (6.0).","Alle Kunden mit mindestens diesem Score werden dieser Gruppe zugeordnet, wenn sie nicht in eine Gruppe mit höherem Wert passen. Der Scoring-Wert muss innerhalb von 10 (1,0) und 60 (6,0) liegen."
"Add relation","Zuordnung hinzufügen"
"Remove","Löschen"
"Solvency Validation","Bonitätsprüfung"
"Will be used, if no other group matches or service is not available. You must save your group before you are able to set it as default.","Wird verwendet, wenn keine andere Gruppe zutrifft oder der Service nicht erreichbar ist. Sie müssen die Gruppe speichern, bevor Sie sie als Standardwert auswählen können."
"-- none --","-- keine --"
"Default Group","Standardgruppe"
"Response Validity","Gültigkeitsdauer der Antwort"
"Response validity timeout (seconds)","Gültigkeit der Antwort (in Sekunden)"
"Maximum number of checkouts without re-request","Maximale Anzahl von Checkouts ohne erneute Prüfung"
"Minimum total amount to check solvency","Mindestbestellwert für die Bonitätsprüfung"
"No proper default group selected, please contact merchant!","Keine gültige Standardgruppe gesetzt, bitte kontaktieren sie den Shopbetreiber!"
"No Payment methods available, please contact merchant!","Keine Zahlungarten verfügbar, bitte kontaktieren sie den Shopbetreiber!"
"Skip solvency validation for selected payment methods","Für diese Zahlungsarten ist keine Bonitätsprüfung durchzuführen"
"Solvency validation will be skipped for orders with payment method <span style=""font-style:italic"">%s</span>, although there are solvency groups that deny that method! Please check your settings again!","Bonität-Validierung wird für Bestellungen mit der Zahlungsmethode <span style=""font-style:italic"">%s</span> übersprungen , obwohl es Bonitäts-Gruppen gibt, die diese Zahlungsmethode nicht gestatten! Bitte überprüfen Sie Ihre Einstellungen erneut!"